,Country,Breed_type,Outdoor_access,Bedding_present,Slatted floor,Age_category,Water content (%),Total_SCFA_mM/g
01BE01,Belgium,Wild,Yes,Yes,No,Mature,72.42424242,133.7060091
01BE02,Belgium,Wild,Yes,Yes,No,Mature,69.1318328,351.6593901
01BE03,Belgium,Wild,Yes,Yes,No,Mature,69.20731707,155.416777
01BE04,Belgium,Wild,Yes,Yes,No,Mature,75.0,279.4966984
01BE05,Belgium,Traditional,Yes,Yes,No,Mature,54.66666667,129.1874099
01BE06,Belgium,Traditional,Yes,Yes,No,Mature,51.39318885,163.2312617
02BE01,Belgium,Commercial,No,No,Yes,Nursery,,
02BE03,Belgium,Commercial,No,No,Yes,Nursery,,
02BE05,Belgium,Commercial,No,No,Yes,Nursery,,
02BE06,Belgium,Commercial,No,No,Yes,Nursery,,
02BE08,Belgium,Commercial,No,No,Yes,Nursery,,
02BE09,Belgium,Commercial,No,No,Yes,Nursery,,
02BE10,Belgium,Commercial,No,No,Yes,Nursery,,
02BE11,Belgium,Commercial,No,No,Yes,Lactation,73.07692308,139.1382293
02BE13,Belgium,Commercial,No,No,Yes,Lactation,,
02BE17,Belgium,Commercial,No,No,Yes,Lactation,,
02BE20,Belgium,Commercial,No,No,Yes,Lactation,,
02BE21,Belgium,Commercial,No,No,Yes,Nursery,,
02BE25,Belgium,Commercial,No,No,Yes,Nursery,,
02BE28,Belgium,Commercial,No,No,Yes,Lactation,,
02BE30,Belgium,Commercial,No,No,Yes,Lactation,,
02BE31,Belgium,Commercial,No,No,Yes,Lactation,,
02BE32,Belgium,Commercial,No,No,Yes,Lactation,,
02BE33,Belgium,Commercial,No,No,Yes,Nursery,,
02BE34,Belgium,Commercial,No,No,Yes,Lactation,,
02BE36,Belgium,Commercial,No,No,Yes,Nursery,,
02BE38,Belgium,Commercial,No,No,Yes,Nursery,,
02BE41,Belgium,Commercial,No,No,Yes,Nursery,,
02BE43,Belgium,Commercial,No,No,Yes,Nursery,,
02BE45,Belgium,Commercial,No,No,Yes,Lactation,,
03BE02,Belgium,Commercial,No,No,Yes,Nursery,,475.403859
03BE03,Belgium,Commercial,No,No,Yes,Nursery,77.98742138,516.9550488
