,Kingdom,Phylum,Class,Order,Family,Genus,Species
5940dffdf046cace1f82ad0f2ce94ae3,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Akkermansiaceae,g__Akkermansia,s__Unclassified
326c4774587975d5a95820937482c7e3,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
25611506a3500b4405ebb2d639a88038,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
b181ce556d23f0508ddc4da2ebbcb0ea,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
03996f94a333e5b3d8869f058e2d496f,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
f38a62df1db52f9ea5d4e004f845ef74,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
08ea8309957a42a6d632795546787d0c,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
1295733c07b9eba9562eab24fb3083eb,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
fbd5dc665d34a389ec1db8ddaf1805af,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
43ede213d84b537fa79e1411735e7d98,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
74d790b121a34308d931cd5efc996789,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
060040d53022b29b4d08d21f609899f8,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
c23fd5b46f6b31c60240d9c0d0916bef,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
02fdef73f70462e122aec8cf4dd76ac4,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
c7eef6f647200f0ad5fb36b7f8767801,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
049567351929bd0a4490ae2c99ef1851,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
bc6537fdadd73d98ebc98ef787ea60c7,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
67c49c8e3886b32be8d1fe8d83ff8a64,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
65dfaf525584f3b632739acf52800831,d__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__RFP12,f__UBA3636,g__UBA3636,s__UBA3636 sp902761575
